ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,vaccinations,ITN,Edu_men,Edu_wm,Healthcare,Toilet,Water,NAME2
309,Shai Osu Doku,Shai Osu Doku,SHAI OSUKOKU,116,Dangme West,Dangme West,Greater Accra,970571457.7,971,4,5,6,10,13,16,20,Shai-Osudoku
310,Ada East,Ada East,ADA EAST,112,Dangme East,Dangme East,Greater Accra,290596380.6,291,2,2,3,4,5,7,6,Ada East
311,Ga Central Municipal,Ga Central Municipal,GA CENTRAL MUNICIPAL,103,Ga West,Ga West,Greater Accra,49083082.5,49,1,1,1,1,1,1,1,Ga Central
312,La Dade Kotopon,La Dade Kotopon,LA DADE KOTOPON MUNICIPAL,102,AMA,AMA,Greater Accra,36102589.04,36,1,1,1,1,1,1,1,La-Dade-Kotopon
313,La Nkwantanang Madina,La Nkwantanang Madina,LA NKWANTANG MADINA MUNICIPAL,104,Ga East,Ga East,Greater Accra,71023483.95,71,1,1,1,1,1,1,1,La-Nkwantanang-Madina
314,Kpone Katamanso,Kpone Katamanso,KPONE KATAMANSO,101,Tema,Tema,Greater Accra,240351931.1,240,1,2,1,2,2,2,2,Kpone-Katamanso
315,Ningo Prampram,Ningo Prampram,NA,116,Dangme West,Dangme West,Greater Accra,623648974,624,3,5,4,6,7,11,8,Ningo Prampram
316,Ada West,Ada West,ADA WEST,112,Dangme East,Dangme East,Greater Accra,324575036.8,325,2,2,2,3,4,6,6,Ada West
401,South Tongu,South Tongu,SOUTH TONGU,606,Tongu South,Tongu South,Volta,645458417.9,645,4,4,4,8,10,11,13,South Tongu
402,Keta Municipal,Keta Municipal,KETA MUNICAPAL,601,Keta,Keta,Volta,755488142.9,755,4,5,7,8,12,15,16,Keta
403,Ketu South,Ketu South,KETU SOUTH,613,Ketu South,Ketu South,Volta,279272691.5,279,2,3,2,3,3,3,3,Ketu South
404,Ketu North,Ketu North,KETU NORTH,609,Ketu North,Ketu North,Volta,425156237,425,3,3,4,5,6,6,6,Ketu North
405,Akatsi South,Akatsi South,AKATSI,621,Akatsi,Akatsi,Volta,537634608.8,538,3,3,4,6,7,6,5,Akatsi South
406,Central Tongu,Central Tongu,CENTRAL TONGU,620,Tongu North,Tongu North,Volta,684149014.7,684,3,4,5,8,11,8,10,Central Tongu
